N,fstLidL,Cc_first,Cc_last,Cc_middle,Cg_first,Cg_last,Cg_middle
70,5.0,2.2508838543249403e-15,8.726893887972611e-17,4.40741096651624e-17,9.27526962476235e-17,3.5658153545602906e-17,1.77262165755201e-17
70,7.0,2.7360448034712902e-15,8.47197077147822e-17,4.2398856272757804e-17,1.17239530453449e-16,3.5490504642375504e-17,1.74991395229359e-17
70,9.0,3.2865391067941503e-15,8.533690165695151e-17,4.30719885558687e-17,1.38919097504312e-16,3.6512974144985596e-17,1.81573723561376e-17
70,11.0,3.8302522231780104e-15,8.296123608676911e-17,4.4543078563803e-17,1.5940362589954904e-16,3.6163442095815e-17,1.9135844950956703e-17
70,13.0,4.355237763448211e-15,8.32643650624558e-17,4.617336671547511e-17,1.7941368866542602e-16,3.70204971679967e-17,2.02421022360621e-17
70,15.0,4.778303651543231e-15,8.157460197676541e-17,4.37916915216224e-17,2.0057707644816302e-16,3.69859201689111e-17,1.9577016733680302e-17
70,17.0,5.358071461746081e-15,8.19503868778036e-17,4.54428460716649e-17,2.1977139931503103e-16,3.7808120506058706e-17,2.0675698443153703e-17
70,19.0,5.87693868395357e-15,8.13395532155459e-17,4.5104312018016004e-17,2.39587176436755e-16,3.81853340423697e-17,2.0883673430808803e-17
70,21.0,6.408810505609501e-15,8.131873713610311e-17,4.4936592722206204e-17,2.57248544879837e-16,3.87442192483307e-17,2.1143816477133602e-17
80,1.0,1.00210213399465e-15,8.445054458007611e-17,4.4086493788175803e-17,3.5443462254859404e-17,3.551334202890391e-17,1.8262450317516902e-17
80,3.0,1.6684061515771001e-15,8.326649455969721e-17,4.3452337531999305e-17,6.635068700908819e-17,3.5936677343298604e-17,1.8480305863371404e-17
80,5.0,2.24996631329811e-15,8.23064185506877e-17,4.2938878062500405e-17,9.103955464440321e-17,3.63490175702432e-17,1.86919934337029e-17
80,7.0,2.73225132270735e-15,8.13949421587039e-17,4.09077261714843e-17,1.1544988533834102e-16,3.683845627049711e-17,1.8263557900389302e-17
80,9.0,3.2883758637831603e-15,8.24909658786302e-17,4.16143879888986e-17,1.3705218351690403e-16,3.8096327232438905e-17,1.89652060043074e-17
80,11.0,3.8200259978845904e-15,8.0056689535736e-17,4.28832752367404e-17,1.5731738118001402e-16,3.7698682763859506e-17,1.99134594171684e-17
80,13.0,4.34357464099299e-15,8.039402561377001e-17,4.44840426170366e-17,1.76717636211293e-16,3.85550298320869e-17,2.1042338533165304e-17
80,15.0,4.7627785264164604e-15,7.876209388743021e-17,4.2187616497406507e-17,1.97823479377327e-16,3.8492232930272905e-17,2.0337047892107303e-17
